year,gmsl_variation_with_gia,gmsl_variation_with_gia_std
1993.011526,-38.61,89.88
1993.038692,-42,90.93
1993.065858,-41.96,87.31
1993.093025,-42.69,90.79
1993.120191,-37.85,90.29
1993.147357,-36.07,89.99
1993.174523,-36.09,88.77
1993.201689,-35.5,89.51
1993.228855,-35.43,88.78
1993.283188,-37.47,87.41
1993.310354,-34.46,87.29
1993.33752,-36.56,86.34
1993.364686,-38.71,86.2
1993.391852,-40.14,85.05
1993.419018,-38.25,85.14
1993.446185,-35.95,85.33
1993.473351,-35.12,83.45
1993.500517,-35.28,82.97
1993.527683,-35.69,84.64
1993.582015,-35.58,87.15
1993.609181,-33.99,87.86
1993.636348,-30.12,88.69
1993.663514,-29.62,88.27
1993.69068,-30.38,86.41
1993.717846,-31.84,86.31
1993.745012,-28.64,86.59
1993.772178,-26.41,87.93
1993.799345,-29.17,86.01
1993.853677,-31.3,85.79
1993.880843,-32.26,85.38
1993.908009,-34.1,85.56
1993.935175,-32.06,85.07
1993.962341,-28.15,85.76
1993.989508,-30.91,85.21
1994.016674,-33.1,84.66
1994.04384,-30.64,83.7
1994.071006,-29.07,82.7
1994.098172,-33.86,81.82
1994.125338,-37.16,81.2
1994.152505,-36.53,83.02
1994.179671,-31.99,85.44
1994.234003,-28.4,84.14
1994.261169,-31.62,84.19
1994.288335,-31.4,84.19
1994.315501,-32.99,83.21
1994.342668,-34.3,82
1994.369834,-34.87,82.62
1994.397,-37.61,82.27
1994.424166,-35.13,81.12
1994.451332,-32.29,81.96
1994.505664,-38.25,80.66
1994.532831,-32.46,82.67
1994.559997,-31.11,85.68
1994.587163,-30.96,86.44
1994.614329,-31.29,86.51
1994.641495,-28.49,88.74
1994.668661,-26.62,91.5
1994.695828,-24.98,93.07
1994.722994,-25.76,95.94
1994.75016,-26.67,91.89
1994.777326,-25.14,92.37
1994.804492,-22.96,92.05
1994.831658,-25.19,94.63
1994.885991,-27.94,95.78
1994.913157,-31.66,92.29
1994.940323,-27.4,90.93
1994.967489,-25.52,92.02
1994.994655,-24.48,95.24
1995.021821,-24.26,94.21
1995.048988,-27.11,90.21
1995.076154,-24.77,91.92
1995.10332,-29.99,88.81
1995.130486,-33.55,89.03
1995.157652,-28.4,88.79
1995.211984,-23.39,92.08
1995.239151,-30.06,87.7
1995.266317,-30.81,87.22
1995.293483,-30.76,87.1
