,region,country,emissions,source,type,segment,reason,year,notes
1,Africa,Algeria,0.0520000010728836,IEA,Energy,Bioenergy,All,2022,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
2,Africa,Algeria,130.7989959716797,IEA,Energy,Gas pipelines and LNG facilities,Fugitive,2022,
3,Africa,Algeria,69.74189758300781,IEA,Energy,Gas pipelines and LNG facilities,Vented,2022,
4,Africa,Algeria,213.98699951171875,IEA,Energy,Onshore gas,Fugitive,2022,
5,Africa,Algeria,464.3080139160156,IEA,Energy,Onshore gas,Vented,2022,
6,Africa,Algeria,469.7869873046875,IEA,Energy,Onshore oil,Flared,2022,
7,Africa,Algeria,85.18720245361328,IEA,Energy,Onshore oil,Fugitive,2022,
8,Africa,Algeria,1154.1199951171875,IEA,Energy,Onshore oil,Vented,2022,
9,Africa,Algeria,0.0040000001899898,IEA,Energy,Other from coal,All,2022,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
10,Africa,Algeria,14.208550453186035,IEA,Energy,Other from oil and gas,All,2022,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
11,Africa,Algeria,67.0,IEA,Energy,Satellite-detected large oil and gas emissions,All,2022,
12,Africa,Algeria,2669.194580078125,IEA,Energy,Total,All,2022,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
16,Africa,Angola,57.34000015258789,IEA,Energy,Bioenergy,All,2022,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
17,Africa,Angola,2.59168004989624,IEA,Energy,Gas pipelines and LNG facilities,Fugitive,2022,
18,Africa,Angola,1.3818800449371338,IEA,Energy,Gas pipelines and LNG facilities,Vented,2022,
19,Africa,Angola,47.64350128173828,IEA,Energy,Offshore oil,Flared,2022,
20,Africa,Angola,29.42110061645508,IEA,Energy,Offshore oil,Fugitive,2022,
