Year,Continent,Temp Change
1965,Asia,-0.012101299
1966,Asia,0.007611039
1967,Asia,-0.030030087
1968,Asia,-0.084089394
1969,Asia,-0.03672987
1970,Asia,0.009698701
1971,Asia,-0.054561039
1972,Asia,-0.043326407
1973,Asia,0.029715152
1974,Asia,-0.034968831
1975,Asia,-0.070268182
1976,Asia,-0.086550866
1977,Asia,-0.042269264
1978,Asia,-0.062001299
1979,Asia,0.019771429
1980,Asia,0.073953247
1981,Asia,0.149748052
1982,Asia,0.14545974
1983,Asia,0.161949351
1984,Asia,0.117538961
1985,Asia,0.097081818
1986,Asia,0.095320346
1987,Asia,0.145500216
1988,Asia,0.184569697
1989,Asia,0.206822078
1990,Asia,0.254133766
1991,Asia,0.282248701
1992,Asia,0.248744372
1993,Asia,0.20180671
1994,Asia,0.323651082
1995,Asia,0.338755628
1996,Asia,0.305698268
1997,Asia,0.373832035
1998,Asia,0.532298701
1999,Asia,0.559325325
2000,Asia,0.602686147
2001,Asia,0.723581385
2002,Asia,0.813030303
2003,Asia,0.775837879
2004,Asia,0.771854545
2005,Asia,0.796972294
2006,Asia,0.796520996
2007,Asia,0.808046753
2008,Asia,0.802275325
2009,Asia,0.830857143
2010,Asia,0.909077922
2011,Asia,0.902246104
2012,Asia,0.861962771
2013,Asia,0.90348961
2014,Asia,0.925858442
2015,Asia,0.939101299
2016,Asia,1.066641558
2017,Asia,1.136446753
2018,Asia,1.210685714
2019,Asia,1.29545
2020,Asia,1.347624026
2021,Asia,1.337842857
2022,Asia,1.367425325
1965,Americas,-0.026566667
1966,Americas,-0.028155556
1967,Americas,-0.061186364
1968,Americas,-0.097250505
1969,Americas,-0.032018182
1970,Americas,0.017666667
1971,Americas,-0.060236364
1972,Americas,-0.034071212
1973,Americas,0.026241919
1974,Americas,-0.054106061
1975,Americas,-0.087168182
1976,Americas,-0.078618182
1977,Americas,-0.027633333
1978,Americas,-0.038731818
1979,Americas,0.043942424
1980,Americas,0.128566667
