Continent ,Year,Total Co2 emissions
Africa,1900-1925,474198544
Asia,1900-1925,3293517676
Europe,1900-1925,36973203500
North America,1900-1925,35931368250
Oceania,1900-1925,597367568
South America,1900-1925,370708864
Africa,1926-1950,1232677170
Asia,1926-1950,8821629390
Europe,1926-1950,46082451000
North America,1926-1950,51817363000
Oceania,1926-1950,882754080
South America,1926-1950,1241269238
Africa,1951-1975,5339335286
Asia,1951-1975,42756993380
Europe,1951-1975,116889000000
North America,1951-1975,94603612000
Oceania,1951-1975,3106201220
South America,1951-1975,6177759000
Africa,1976-2000,16562877030
Asia,1976-2000,157430000000
Europe,1976-2000,180384000000
North America,1976-2000,148902000000
Oceania,1976-2000,7325301850
South America,1976-2000,14854828920
Africa,2001-2021,25494983860
Asia,2001-2021,344918000000
Europe,2001-2021,124861000000
North America,2001-2021,142692000000
Oceania,2001-2021,9335246220
South America,2001-2021,21596395940
